No.keluarga
61,   0.880 ,   79.878 ,Layak
62,   1.159 ,   87.871 ,Layak
49,   0.516 ,   43.660 ,Layak
48,   1.433 ,   78.028 ,Layak
47,   0.780 ,   78.054 ,Layak
64,   0.588 ,   35.480 ,Layak
66,   0.666 ,   60.245 ,Layak
92,   0.817 ,   62.427 ,Layak
80,   0.664 ,   39.692 ,Layak
77,   1.217 ,   82.991 ,Layak
74,   0.600 ,   80.864 ,Layak
44,   0.902 ,   68.021 ,Layak
36,   0.946 ,   98.000 ,Layak
18,   1.345 ,   76.343 ,Layak
15,   0.428 ,   38.739 ,Layak
9,   0.806 ,   69.192 ,Layak
6,   0.664 ,   63.226 ,Layak
19,   0.599 ,   45.566 ,Layak
21,   0.155 ,   29.496 ,Layak
34,   0.515 ,   41.771 ,Layak
